# Inkform performance log
# startedAt=2026-09-01T22:55:56
# branch=Test
# commit=814d56ead226e42d532badfa3768a7f345ff5ed5
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.3,Mine Cave 1,0,0,0,21586.73,684.3,364.14,112.90,Fall,R
1.3,Mine Cave 1,12,1,148,84.59,694.5,364.14,111.68,Land,R
2.3,Mine Cave 1,55,11,392,18.24,695.9,363.56,111.64,Land,R
3.3,Mine Cave 1,60,56,66,16.67,703.6,368.26,113.76,JumpUp,R
4.3,Mine Cave 1,60,54,67,16.67,714.6,371.41,111.64,Land,L
5.4,Mine Cave 1,60,55,65,16.67,727.7,370.29,111.64,Land,L
6.4,Mine Cave 1,60,53,68,16.67,740.7,373.82,112.14,Fall,R
7.4,Mine Cave 1,60,42,89,16.78,754.3,383.82,111.09,JumpUp,R
8.4,Mine Cave 1,60,43,92,16.67,694.3,390.46,109.64,Land,R
9.4,Mine Cave 1,60,50,74,16.66,703.3,393.93,109.64,Land,R
10.4,Mine Cave 1,60,55,63,16.68,715.3,398.36,110.70,JumpUp,R
11.4,Mine Cave 1,60,56,65,16.66,729.0,403.94,113.45,Rise,R
12.4,Mine Cave 1,60,57,64,16.67,742.9,411.90,113.69,Fall,R
13.4,Mine Cave 1,60,54,67,16.66,756.7,419.70,111.64,Land,R
14.4,Mine Cave 1,60,39,127,16.67,691.1,419.63,115.37,Rise,R
15.4,Mine Cave 1,60,56,63,16.66,696.4,423.39,115.64,Land,R
16.4,Mine Cave 1,60,56,66,16.67,706.4,422.56,122.87,Rise,R
17.4,Mine Cave 1,60,55,66,16.68,718.4,427.32,124.15,CeilingMove,R
18.5,Mine Cave 1,60,56,63,16.65,731.9,433.52,124.16,CeilingStick,R
19.5,Mine Cave 1,60,56,64,16.67,745.7,437.22,121.71,Land,R
20.5,Mine Cave 1,60,56,64,16.66,760.0,437.29,121.64,Idle,R
21.5,Mine Cave 1,60,39,130,16.67,691.4,437.29,121.64,Idle,R
22.5,Mine Cave 1,60,52,70,16.69,698.3,444.12,121.23,Fall,R
23.5,Mine Cave 1,60,57,65,16.65,708.9,447.95,118.64,Land,L
24.5,Mine Cave 1,60,55,65,16.66,722.0,443.52,119.65,Land,L
25.5,Mine Cave 1,60,56,64,16.67,735.9,443.52,119.64,Land,L
26.5,Mine Cave 1,60,57,63,16.67,750.1,443.23,119.64,Land,L
27.5,Mine Cave 1,60,56,64,16.67,764.3,441.16,124.09,CeilingStick,L
28.6,Mine Cave 1,60,56,64,16.67,693.1,445.16,119.64,Land,R
29.6,Mine Cave 1,60,56,65,16.67,700.9,441.20,119.80,Rise,R
30.6,Mine Cave 1,60,56,64,16.66,713.0,437.57,121.64,Land,R
31.6,Mine Cave 1,60,56,66,16.67,726.7,437.63,121.64,Idle,R
32.6,Mine Cave 1,60,55,64,16.68,740.8,437.64,121.64,Idle,R
33.6,Mine Cave 1,60,55,64,16.65,754.7,446.04,119.64,Land,R
34.6,Mine Cave 1,60,41,115,16.67,691.3,446.04,119.64,Idle,R
35.6,Mine Cave 1,60,54,64,16.69,695.4,443.66,121.83,Fall,R
36.6,Mine Cave 1,60,56,66,16.66,705.0,444.98,119.64,Land,R
37.6,Mine Cave 1,60,57,63,16.67,717.1,443.73,119.64,Land,L
38.6,Mine Cave 1,60,56,65,16.67,730.4,449.00,119.24,Fall,L
39.6,Mine Cave 1,60,57,65,16.68,744.8,443.46,120.74,Fall,L
40.6,Mine Cave 1,60,57,64,16.67,758.8,443.46,121.50,Rise,L
41.7,Mine Cave 1,60,41,115,16.66,691.5,443.46,119.64,Land,L
42.7,Mine Cave 1,60,55,64,16.66,698.1,443.46,119.64,Idle,L
43.7,Mine Cave 1,60,55,65,16.67,709.0,444.63,122.28,Fall,R
44.7,Mine Cave 1,60,56,65,16.67,721.9,448.42,118.64,Land,R
45.7,Mine Cave 1,60,56,64,16.66,736.1,448.42,118.64,Idle,R
46.7,Mine Cave 1,60,56,65,16.67,750.4,448.42,118.64,Idle,R
47.7,Mine Cave 1,60,56,64,16.67,764.5,444.18,119.64,Land,L
48.7,Mine Cave 1,60,56,66,16.65,693.5,445.25,122.28,JumpUp,R
49.7,Mine Cave 1,60,55,66,16.69,701.6,443.51,120.53,Fall,L
50.7,Mine Cave 1,60,56,66,16.65,713.9,443.50,122.39,Fall,L
51.8,Mine Cave 1,60,56,64,16.67,728.0,442.22,122.42,Fall,L
52.8,Mine Cave 1,60,56,64,16.67,742.5,442.22,122.04,Fall,L
53.8,Mine Cave 1,60,56,65,16.68,756.8,443.57,122.72,Rise,R
54.8,Mine Cave 1,60,39,137,16.68,691.6,449.27,118.64,Land,R
55.8,Mine Cave 1,60,56,65,16.65,696.7,449.27,118.64,Idle,R
56.8,Mine Cave 1,60,56,64,16.68,706.8,445.16,119.64,Land,L
57.8,Mine Cave 1,60,55,67,16.66,719.4,443.40,122.29,Rise,L
58.8,Mine Cave 1,60,55,67,16.68,733.0,444.92,120.12,Fall,L
59.9,Mine Cave 1,60,57,64,16.65,747.2,449.07,120.74,Rise,L
60.9,Mine Cave 1,60,56,65,16.67,761.9,441.97,121.66,Fall,L
61.9,Mine Cave 1,60,41,120,16.67,692.5,441.97,120.50,Rise,L
62.9,Mine Cave 1,60,56,65,16.67,700.1,440.56,124.75,WallSlideL,L
63.9,Mine Cave 1,60,56,64,16.66,711.8,440.56,119.64,Fall,L
64.9,Mine Cave 1,60,56,64,16.67,725.3,436.35,122.41,Fall,R
65.9,Mine Cave 1,60,46,84,16.67,738.9,437.00,121.64,Land,R
# summary duration_s=65.9 frames=3883 fps_avg_global=45 fps_min_session=0
