# Inkform performance log
# startedAt=2026-09-01T23:07:42
# branch=Test
# commit=df1adf2888395d1546e00d4482d0c556c32ceb5f
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.3,Mine Cave 1,0,0,0,3476.96,672.7,364.14,112.90,Fall,R
1.3,Mine Cave 1,29,2,263,34.79,677.8,364.14,111.64,Land,R
2.3,Mine Cave 1,60,57,63,16.67,685.2,372.32,114.33,Fall,R
3.3,Mine Cave 1,60,58,64,16.66,697.5,382.48,112.98,Fall,R
4.3,Mine Cave 1,60,55,66,16.66,711.9,388.66,109.64,Land,R
5.3,Mine Cave 1,60,58,63,16.67,727.0,397.44,110.94,Fall,R
6.3,Mine Cave 1,60,58,64,16.67,741.9,393.66,111.21,JumpUp,L
7.3,Mine Cave 1,60,41,119,16.71,678.8,383.66,112.22,Rise,L
8.3,Mine Cave 1,60,57,63,16.67,688.7,374.16,112.94,Fall,L
9.3,Mine Cave 1,60,57,64,16.67,702.0,363.96,111.64,Land,L
10.4,Mine Cave 1,60,57,64,16.67,716.7,357.74,111.64,Land,R
11.4,Mine Cave 1,60,57,66,16.66,732.2,367.88,113.50,JumpUp,R
12.4,Mine Cave 1,60,57,66,16.67,748.3,377.88,113.11,Fall,R
13.4,Mine Cave 1,60,48,78,16.67,678.2,386.75,110.30,JumpUp,R
14.4,Mine Cave 1,60,57,64,16.66,687.1,396.75,112.33,Fall,R
15.4,Mine Cave 1,60,57,65,16.67,699.7,399.23,110.64,Land,R
16.4,Mine Cave 1,60,58,64,16.67,714.7,405.85,112.90,Fall,R
17.4,Mine Cave 1,60,57,66,16.67,729.6,402.31,114.17,Rise,L
18.4,Mine Cave 1,60,56,64,16.66,744.9,399.73,111.22,Fall,R
19.4,Mine Cave 1,60,39,135,16.68,677.1,406.21,111.94,Fall,R
20.4,Mine Cave 1,60,55,64,16.66,685.4,401.21,112.26,Fall,L
21.4,Mine Cave 1,60,47,81,16.67,697.7,400.21,110.72,Fall,L
22.5,Mine Cave 1,60,57,64,16.66,711.8,364.14,111.64,Land,L
23.5,Mine Cave 1,60,56,65,16.67,725.8,364.14,111.64,Land,L
# summary duration_s=23.5 frames=1362 fps_avg_global=51 fps_min_session=0
