# Inkform performance log
# startedAt=2026-09-04T16:08:01
# branch=Test
# commit=c6216c05333b2c08302f7e8a558c0176aad0d130
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,17,1,359,58.91,677.1,364.14,111.78,Fall,R,Playing,2,786.90,-33188,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1378
2.2,Mine Cave 1,120,74,362,8.34,678.8,364.14,111.64,Land,R,Playing,0,13.53,1736,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1375
3.2,Mine Cave 1,114,28,247,8.79,682.3,364.14,111.64,Idle,R,Playing,1,35.49,3560,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,689
4.2,Mine Cave 1,109,27,342,9.16,685.1,363.88,111.64,Idle,R,Playing,2,36.87,2868,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,20,2758
5.2,Mine Cave 1,106,12,510,9.45,693.3,364.17,111.64,Idle,R,Playing,2,82.22,8344,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
6.2,Mine Cave 1,120,114,127,8.33,707.5,364.17,111.64,Idle,R,Playing,0,8.80,14596,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
7.2,Mine Cave 1,119,67,162,8.39,721.5,372.84,111.64,Land,R,Playing,0,15.03,14280,0,-1.0,5,0,Idle,4,PlayerCursorMidpoint,-1,32,1817
8.3,Mine Cave 1,120,113,127,8.33,736.5,382.84,110.64,Land,R,Playing,0,8.83,15416,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,13,2408
9.3,Mine Cave 1,120,57,360,8.35,677.1,389.47,111.23,Fall,R,Playing,0,17.53,-60804,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,13,2416
10.3,Mine Cave 1,120,114,127,8.34,683.0,397.55,109.64,Land,R,Playing,0,8.80,6012,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,13,1537
11.3,Mine Cave 1,120,111,134,8.33,695.7,399.87,110.67,Fall,R,Playing,0,9.00,13012,0,-1.0,1,1,Idle,4,PlayerCursorMidpoint,-1,13,1553
12.3,Mine Cave 1,120,114,127,8.33,709.9,398.16,109.93,Fall,R,Playing,0,8.81,14564,0,-1.0,0,1,Idle,4,PlayerCursorMidpoint,-1,13,1548
