# Inkform performance log
# startedAt=2026-09-04T19:37:28
# branch=Test
# commit=3dbd2c71432dd3d0cff6921fd86d58a18e1ca5b2
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,10,1,241,100.04,679.5,364.14,112.57,Fall,R,Playing,2,888.46,-32292,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
2.3,Mine Cave 1,114,31,317,8.80,680.1,364.14,111.64,Land,R,Playing,0,32.67,616,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
3.3,Mine Cave 1,114,26,165,8.81,683.0,364.14,111.64,Idle,R,Playing,1,38.80,2996,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,688
4.3,Mine Cave 1,120,60,203,8.36,687.3,364.14,111.64,Idle,R,Playing,0,16.68,4392,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,688
5.3,Mine Cave 1,120,105,142,8.33,693.1,364.14,111.64,Idle,R,Playing,0,9.51,5884,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,688
6.3,Mine Cave 1,120,99,146,8.34,698.4,364.14,111.64,Idle,R,Playing,0,10.14,5480,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,13,688
7.3,Mine Cave 1,119,78,162,8.38,703.7,364.14,111.64,Idle,R,Playing,0,12.87,5380,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,688
8.3,Mine Cave 1,120,91,199,8.33,709.2,364.14,111.64,Idle,R,Playing,0,10.93,5612,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,13,688
9.3,Mine Cave 1,120,90,204,8.33,715.0,364.14,111.64,Idle,R,Playing,0,11.07,6016,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,688
