# Inkform performance log
# startedAt=2026-09-04T23:18:54
# branch=Test
# commit=f34ed20bdafc4af944d618fc8b72c4cb19a92aea
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,16,1,166,62.88,685.8,364.14,112.15,Fall,R,Playing,2,834.55,-54816,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1378
2.2,Mine Cave 1,113,31,314,8.87,686.3,364.14,111.64,Land,R,Playing,0,32.45,484,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,687
3.3,Mine Cave 1,120,89,190,8.30,688.7,364.14,111.64,Idle,R,Playing,0,11.19,2440,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,689
4.3,Mine Cave 1,120,95,156,8.34,692.8,364.14,111.64,Idle,R,Playing,0,10.53,4180,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,689
5.3,Mine Cave 1,120,100,147,8.34,697.7,364.14,111.64,Idle,R,Playing,0,9.95,5048,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,689
6.3,Mine Cave 1,120,80,254,8.34,702.8,364.14,111.64,Idle,R,Playing,0,12.50,5260,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,10,1377
7.3,Mine Cave 1,117,36,187,8.52,708.2,364.14,111.64,Idle,R,Playing,0,28.08,5456,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
8.3,Mine Cave 1,120,91,156,8.34,714.2,364.14,111.64,Idle,R,Playing,0,11.02,6180,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
9.3,Mine Cave 1,120,89,164,8.33,720.5,364.14,111.64,Idle,R,Playing,0,11.25,6424,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
10.3,Mine Cave 1,120,86,314,8.34,726.2,364.14,111.64,Idle,R,Playing,0,11.67,5876,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
11.3,Mine Cave 1,120,91,192,8.33,733.0,364.14,111.64,Idle,R,Playing,0,10.96,6948,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
12.3,Mine Cave 1,120,82,285,8.33,741.3,364.14,111.64,Idle,R,Playing,0,12.20,8524,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
13.3,Mine Cave 1,120,88,182,8.34,749.5,364.14,111.64,Idle,R,Playing,0,11.35,8340,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
14.3,Mine Cave 1,119,45,197,8.40,703.7,364.14,111.64,Idle,R,Playing,0,22.25,-46864,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,1377
15.3,Mine Cave 1,120,81,238,8.32,704.4,364.14,111.64,Idle,R,Playing,0,12.29,688,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
16.3,Mine Cave 1,120,88,191,8.34,706.3,364.14,111.64,Idle,R,Playing,0,11.40,1940,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
17.3,Mine Cave 1,120,98,159,8.33,709.2,364.14,111.64,Idle,R,Playing,0,10.18,3052,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,689
18.3,Mine Cave 1,120,100,150,8.33,713.1,364.14,111.64,Idle,R,Playing,0,10.03,3924,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
19.3,Mine Cave 1,120,101,169,8.34,717.4,364.14,111.64,Idle,R,Playing,0,9.93,4436,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
20.3,Mine Cave 1,120,94,160,8.34,722.0,364.14,111.64,Idle,R,Playing,0,10.67,4668,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
21.3,Mine Cave 1,120,96,143,8.33,727.0,364.14,111.64,Idle,R,Playing,0,10.45,5204,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
22.3,Mine Cave 1,120,82,186,8.33,732.1,364.14,111.64,Idle,R,Playing,0,12.20,5184,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,687
23.3,Mine Cave 1,120,96,168,8.34,737.1,364.14,111.64,Idle,R,Playing,0,10.41,5112,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
24.4,Mine Cave 1,120,103,148,8.34,742.0,364.14,111.64,Idle,R,Playing,0,9.75,5056,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
25.4,Mine Cave 1,120,93,161,8.34,750.0,364.14,111.64,Idle,R,Playing,0,10.71,8188,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
26.4,Mine Cave 1,120,89,184,8.34,758.6,364.14,111.64,Idle,R,Playing,0,11.20,8760,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
27.4,Mine Cave 1,120,85,194,8.32,767.3,364.14,111.64,Idle,R,Playing,0,11.78,8960,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,687
28.4,Mine Cave 1,119,41,231,8.41,715.6,364.14,111.64,Idle,R,Playing,0,24.47,-52956,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
29.4,Mine Cave 1,120,95,199,8.33,716.5,364.14,111.64,Idle,R,Playing,0,10.55,864,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
30.4,Mine Cave 1,120,88,172,8.33,719.0,364.14,111.64,Idle,R,Playing,0,11.38,2600,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
31.4,Mine Cave 1,120,100,148,8.33,722.2,364.14,111.64,Idle,R,Playing,0,9.96,3272,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,687
32.4,Mine Cave 1,120,91,181,8.34,726.5,364.14,111.64,Idle,R,Playing,0,11.03,4424,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,689
33.4,Mine Cave 1,120,106,156,8.33,731.0,364.14,111.64,Idle,R,Playing,0,9.45,4544,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
34.4,Mine Cave 1,120,102,149,8.33,736.0,364.14,111.64,Idle,R,Playing,0,9.78,5112,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
35.4,Mine Cave 1,120,92,172,8.34,741.0,364.14,111.64,Idle,R,Playing,0,10.83,5124,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
36.4,Mine Cave 1,120,91,169,8.34,745.8,364.14,111.64,Idle,R,Playing,0,11.00,4964,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
37.4,Mine Cave 1,120,97,156,8.34,750.5,364.14,111.64,Idle,R,Playing,0,10.28,4808,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,13,689
38.4,Mine Cave 1,120,90,185,8.34,755.2,364.14,111.64,Idle,R,Playing,0,11.10,4796,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
39.4,Mine Cave 1,120,84,196,8.34,760.1,364.14,111.64,Idle,R,Playing,0,11.91,4992,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
40.4,Mine Cave 1,120,103,185,8.30,767.5,364.14,111.64,Idle,R,Playing,0,9.74,7652,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,13,689
