# Inkform performance log
# startedAt=2026-09-05T11:47:15
# branch=Test
# commit=e6bc619ba0c295d653e0271b41928174e67f421c
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,18,1,148,55.62,682.7,364.14,111.88,Fall,R,Playing,2,810.76,-41816,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,1410
2.3,Mine Cave 1,120,93,176,8.34,683.1,364.14,111.64,Land,R,Playing,0,10.80,428,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,1407
3.3,Mine Cave 1,120,73,421,8.32,685.5,368.05,111.64,Move,R,Playing,0,13.75,2400,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,943
4.3,Mine Cave 1,120,95,166,8.34,689.3,368.40,112.30,JumpUp,L,Playing,0,10.50,3856,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,944
5.3,Mine Cave 1,120,69,348,8.33,693.9,361.03,112.70,JumpUp,R,Playing,0,14.43,4712,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,21,1391
6.3,Mine Cave 1,120,98,155,8.34,698.6,371.03,113.23,Fall,R,Playing,0,10.25,4892,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,27,945
7.3,Mine Cave 1,119,77,231,8.37,703.5,378.65,112.02,JumpUp,R,Playing,0,13.05,4976,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,929
8.3,Mine Cave 1,120,76,319,8.34,708.5,388.00,110.69,JumpUp,R,Playing,0,13.07,5132,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,18,2679
9.3,Mine Cave 1,120,87,195,8.32,714.1,381.48,111.56,Fall,L,Playing,0,11.50,5700,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,15,2416
10.3,Mine Cave 1,120,94,169,8.33,719.6,371.75,111.67,Land,L,Playing,0,10.68,5696,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,946
11.3,Mine Cave 1,120,75,327,8.36,725.8,370.55,111.64,Move,L,Playing,0,13.37,6348,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,27,963
12.3,Mine Cave 1,120,88,321,8.34,733.7,369.03,111.64,Idle,L,Playing,0,11.40,8032,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,26,968
13.3,Mine Cave 1,120,89,190,8.32,741.4,369.03,111.64,Idle,L,Playing,0,11.23,7916,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,968
14.3,Mine Cave 1,119,48,296,8.42,700.6,369.03,111.64,Idle,L,Playing,0,21.04,-41808,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,0,0
15.3,Mine Cave 1,120,86,260,8.33,700.9,368.96,111.64,Idle,L,Playing,0,11.66,320,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,936
16.3,Mine Cave 1,120,91,159,8.33,701.7,371.28,111.64,Idle,R,Playing,0,10.99,860,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,26,964
