# Inkform performance log
# startedAt=2026-09-05T12:56:33
# branch=Test
# commit=effb33849975f3f47ccbfdb383754c0c1509e25f
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,12,1,154,83.69,681.6,364.14,111.88,Fall,R,Playing,2,811.56,-28200,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,5920
2.3,Mine Cave 1,113,33,210,8.82,683.6,371.46,114.09,Fall,R,Playing,0,30.50,2036,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,5285
3.3,Mine Cave 1,120,93,167,8.34,688.8,381.46,113.12,JumpUp,R,Playing,0,10.78,5340,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,5266
4.3,Mine Cave 1,119,81,229,8.37,697.1,384.63,109.64,Land,R,Playing,0,12.28,8520,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,44,7094
5.3,Mine Cave 1,119,60,225,8.42,706.1,392.85,110.57,Fall,R,Playing,0,16.71,9232,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,22,4970
6.4,Mine Cave 1,120,95,187,8.31,714.7,394.72,110.58,JumpUp,L,Playing,0,10.58,8740,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,2835
7.4,Mine Cave 1,120,95,163,8.34,723.7,384.72,110.47,Fall,L,Playing,0,10.53,9256,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,5677
8.4,Mine Cave 1,120,88,199,8.34,732.6,375.72,113.11,CeilingStick,L,Playing,0,11.36,9152,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,26,5272
9.4,Mine Cave 1,119,80,277,8.37,741.1,372.89,111.64,Land,L,Playing,0,12.48,8680,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,28,5306
10.4,Mine Cave 1,120,87,194,8.35,749.9,372.17,111.64,Move,L,Playing,0,11.51,9016,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,23,4699
11.4,Mine Cave 1,120,89,234,8.31,758.7,369.60,111.64,Idle,L,Playing,0,11.30,9012,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,28,5305
12.4,Mine Cave 1,119,54,223,8.41,687.2,377.88,112.30,JumpUp,R,Playing,0,18.53,-73276,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,5256
13.4,Mine Cave 1,120,88,196,8.33,690.5,387.88,111.34,Fall,R,Playing,0,11.36,3440,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,5682
14.4,Mine Cave 1,120,91,177,8.33,696.5,397.88,110.09,JumpUp,R,Playing,0,11.02,6156,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,3293
15.4,Mine Cave 1,120,88,252,8.34,703.7,403.90,116.58,Rise,R,Playing,0,11.32,7324,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,50,9556
16.4,Mine Cave 1,120,88,210,8.33,711.3,404.43,114.16,CeilingStick,R,Playing,0,11.37,7808,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,50,9562
17.4,Mine Cave 1,120,80,212,8.34,718.7,414.43,111.64,Land,R,Playing,0,12.56,7580,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,6360
18.4,Mine Cave 1,120,76,250,8.34,726.0,420.12,111.64,Land,R,Playing,0,13.16,7484,0,-1.0,1,0,Miss,4,PlayerCursorMidpoint,-1,25,7595
