# Inkform performance log
# startedAt=2026-09-05T15:36:20
# branch=Test
# commit=046a2c0b25bc03b9dd0772c2ed3424173c6099e7
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.5,Mine Cave 1,14,1,214,71.66,683.2,364.14,112.07,Fall,R,Playing,2,835.24,-25264,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,52,13392
2.5,Mine Cave 1,118,58,318,8.45,688.0,371.34,114.15,Rise,R,Playing,0,17.26,4852,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6060
3.5,Mine Cave 1,106,32,367,9.48,693.6,373.65,111.64,Land,L,Playing,0,31.13,5800,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,23,5478
4.5,Mine Cave 1,118,62,269,8.48,702.9,371.94,111.64,Land,L,Playing,0,16.10,9448,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,24,5499
5.5,Mine Cave 1,119,77,323,8.41,713.5,379.17,113.49,JumpUp,R,Playing,0,13.01,10868,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,26,6032
6.5,Mine Cave 1,120,67,296,8.34,724.1,389.13,110.61,Fall,R,Playing,0,14.90,10848,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,22,6456
7.5,Mine Cave 1,120,71,295,8.36,734.9,397.79,110.30,JumpUp,R,Playing,0,14.08,11068,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,22,4293
8.5,Mine Cave 1,120,67,334,8.32,746.3,400.05,110.64,Land,R,Playing,0,14.83,11740,0,-1.0,1,1,Idle,4,PlayerCursorMidpoint,-1,22,4310
9.5,Mine Cave 1,120,68,303,8.36,757.2,400.03,110.81,Fall,R,Playing,0,14.63,11080,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,44,8646
10.5,Mine Cave 1,118,39,217,8.49,688.8,398.11,110.30,JumpUp,R,Playing,0,25.56,-70032,1,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,22,4311
11.5,Mine Cave 1,120,73,289,8.34,694.4,401.09,112.36,JumpUp,R,Playing,0,13.72,5760,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,22,4295
12.5,Mine Cave 1,120,72,324,8.33,702.5,409.03,112.12,JumpUp,R,Playing,0,13.84,8296,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,22,5165
13.5,Mine Cave 1,120,73,331,8.33,712.7,397.26,109.64,Land,R,Playing,0,13.66,10452,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,22,3208
14.5,Mine Cave 1,120,93,176,8.35,722.8,403.76,113.45,Fall,R,Playing,0,10.81,10340,0,-1.0,0,3,Idle,4,PlayerCursorMidpoint,-1,25,5148
15.5,Mine Cave 1,120,72,281,8.34,732.5,413.96,112.09,JumpUp,R,Playing,0,13.85,9928,0,-1.0,0,3,Idle,4,PlayerCursorMidpoint,-1,22,6731
16.5,Mine Cave 1,120,80,321,8.34,742.7,419.04,116.73,Rise,R,Playing,0,12.51,10424,0,-1.0,0,3,Pulling,4,PlayerCursorMidpoint,-1,25,8471
17.5,Mine Cave 1,120,71,292,8.33,753.6,421.86,116.55,Fall,R,Playing,0,14.03,11172,0,-1.0,0,3,Flying,4,PlayerCursorMidpoint,-1,0,0
18.5,Mine Cave 1,120,70,211,8.36,764.2,422.72,121.55,Rise,R,Playing,0,14.31,10868,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,25,7587
19.5,Mine Cave 1,120,71,284,8.33,775.7,432.67,124.06,CeilingMove,R,Playing,0,14.02,11792,0,-1.0,0,3,Idle,4,PlayerCursorMidpoint,-1,25,4952
20.6,Mine Cave 1,118,38,339,8.48,693.1,436.81,121.64,Land,R,Playing,0,26.24,-84568,1,-1.0,0,3,Idle,4,PlayerCursorMidpoint,-1,25,5414
21.6,Mine Cave 1,120,78,346,8.34,698.0,436.81,121.64,Idle,R,Playing,0,12.85,4936,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,25,5414
22.6,Mine Cave 1,120,67,283,8.34,706.0,443.13,122.03,Fall,R,Playing,0,14.97,8252,0,-1.0,0,3,Idle,4,PlayerCursorMidpoint,-1,25,5409
23.6,Mine Cave 1,119,68,283,8.39,715.2,450.45,118.62,Fall,R,Playing,0,14.73,9404,0,-1.0,2,3,Idle,4,PlayerCursorMidpoint,-1,26,8864
24.6,Mine Cave 1,120,78,259,8.33,724.9,457.64,118.64,Land,R,Playing,0,12.74,9904,0,-1.0,4,3,Idle,4,PlayerCursorMidpoint,-1,25,7009
25.6,Mine Cave 1,120,71,320,8.36,734.7,458.46,118.64,Move,R,Playing,0,14.14,10024,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,25,7003
26.6,Mine Cave 1,120,70,254,8.36,744.6,468.46,117.64,Land,R,Playing,0,14.20,10144,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,25,5376
27.6,Mine Cave 1,120,76,244,8.33,754.3,478.46,117.09,JumpUp,R,Playing,0,13.22,9956,0,-1.0,3,3,Idle,4,PlayerCursorMidpoint,-1,25,6100
