# Inkform performance log
# startedAt=2026-09-05T16:35:08
# branch=Test
# commit=ccdf38aa9f3b574ff5b0536db877aacb03ae3df8
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,40,2,431,25.12,677.9,364.59,111.64,Land,R,Playing,3,580.95,-54912,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,5872
2.3,Mine Cave 1,119,59,574,8.39,684.3,371.38,111.64,Land,R,Playing,0,16.95,6584,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,23,5554
3.3,Mine Cave 1,120,106,137,8.35,695.6,371.38,111.64,Idle,R,Playing,0,9.48,11584,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,24,5572
4.3,Mine Cave 1,120,98,151,8.34,708.3,365.62,111.64,Move,L,Playing,0,10.15,12972,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6765
5.3,Mine Cave 1,120,80,138,8.36,721.6,364.31,111.66,Move,R,Playing,0,12.50,13652,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,23,6752
6.3,Mine Cave 1,120,111,131,8.33,735.9,371.64,111.65,Move,R,Playing,0,8.98,14584,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6129
7.3,Mine Cave 1,120,71,330,8.34,677.1,373.07,111.65,Move,R,Playing,0,14.06,-60152,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6111
8.3,Mine Cave 1,120,112,130,8.33,683.1,383.07,111.73,Fall,R,Playing,0,8.95,6128,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,25,6529
9.3,Mine Cave 1,120,115,126,8.33,694.7,392.56,113.83,Rise,R,Playing,0,8.73,11884,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,5411
10.3,Mine Cave 1,120,112,129,8.34,707.6,399.71,110.64,Land,R,Playing,0,8.96,13236,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,4366
11.3,Mine Cave 1,120,112,129,8.33,721.2,399.87,110.64,Land,R,Playing,0,8.92,13912,0,-1.0,2,1,Idle,4,PlayerCursorMidpoint,-1,22,4375
12.3,Mine Cave 1,120,113,127,8.33,735.1,399.25,110.64,Land,R,Playing,0,8.87,14160,0,-1.0,0,1,Idle,4,PlayerCursorMidpoint,-1,22,4369
13.3,Mine Cave 1,120,113,125,8.33,749.8,407.57,111.64,Land,R,Playing,0,8.88,15120,0,-1.0,1,1,Idle,4,PlayerCursorMidpoint,-1,25,5221
14.3,Mine Cave 1,120,70,337,8.35,678.6,417.57,112.50,JumpUp,R,Playing,0,14.28,-72912,1,-1.0,2,1,Idle,4,PlayerCursorMidpoint,-1,28,6808
15.3,Mine Cave 1,120,113,127,8.33,687.4,420.68,113.75,Fall,R,Playing,0,8.89,8992,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,25,8812
16.3,Mine Cave 1,120,101,145,8.33,699.6,399.26,110.64,Land,R,Playing,0,9.92,12512,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,22,4369
