# Inkform performance log
# startedAt=2026-09-05T20:43:50
# branch=Test
# commit=5331c12dd9c406d658570dbce8b8f3d965e3ebd2
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,14,1,198,72.00,679.9,364.14,112.07,Fall,R,Playing,2,832.05,-28400,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6768
2.2,Mine Cave 1,114,29,206,8.81,680.3,364.14,111.64,Land,R,Playing,1,34.81,412,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,5868
3.3,Mine Cave 1,120,98,152,8.34,682.5,364.14,111.64,Idle,R,Playing,0,10.20,2284,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,5870
4.3,Mine Cave 1,120,78,268,8.34,685.7,364.14,111.64,Idle,R,Playing,0,12.88,3244,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,5870
5.3,Mine Cave 1,118,57,193,8.44,689.6,364.14,111.64,Idle,R,Playing,0,17.49,4084,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,19,5870
6.3,Mine Cave 1,120,86,272,8.33,693.6,364.14,111.64,Idle,R,Playing,0,11.57,4032,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,38,11740
7.3,Mine Cave 1,120,84,195,8.33,697.9,364.14,111.64,Idle,R,Playing,0,11.89,4428,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,19,5870
8.3,Mine Cave 1,120,70,294,8.36,702.2,364.14,111.64,Idle,R,Playing,0,14.25,4432,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,19,5868
9.3,Mine Cave 1,119,69,283,8.38,707.5,364.14,111.64,Idle,R,Playing,0,14.44,5396,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,5868
10.3,Mine Cave 1,121,89,259,8.30,713.9,364.14,111.64,Idle,R,Playing,0,11.26,6560,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,5868
11.3,Mine Cave 1,120,91,174,8.33,720.4,364.14,111.64,Idle,R,Playing,0,10.98,6628,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,23,6765
12.3,Mine Cave 1,120,95,170,8.34,727.2,364.14,111.64,Idle,R,Playing,0,10.58,6932,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6765
13.3,Mine Cave 1,120,51,366,8.36,733.7,364.14,111.64,Idle,R,Playing,0,19.79,6720,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,5872
14.3,Mine Cave 1,119,76,283,8.37,740.4,364.14,111.64,Idle,R,Paused,0,13.08,6848,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,6812
15.3,Mine Cave 1,112,13,208,8.95,748.6,364.14,111.64,Idle,R,Paused,1,78.17,8380,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,6812
16.4,Mine Cave 1,112,23,404,8.91,702.8,364.14,111.64,Idle,R,Playing,1,42.81,-46924,1,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,23,6756
17.4,Mine Cave 1,120,92,167,8.34,706.9,370.60,113.55,Fall,R,Playing,0,10.82,4272,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6133
18.4,Mine Cave 1,120,92,146,8.35,715.6,372.94,111.64,Land,R,Playing,0,10.82,8864,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,5526
19.4,Mine Cave 1,120,96,159,8.33,726.2,373.16,111.64,Move,R,Playing,0,10.39,10884,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,22,5540
20.4,Mine Cave 1,120,105,138,8.34,739.9,383.11,110.64,Land,R,Playing,0,9.54,13992,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,6527
21.4,Mine Cave 1,120,93,168,8.34,754.4,391.89,109.64,Land,R,Playing,0,10.79,14864,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,3734
22.4,Mine Cave 1,120,114,130,8.33,769.1,399.69,111.11,JumpUp,R,Playing,0,8.79,15028,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,22,4370
23.4,Mine Cave 1,120,75,274,8.33,703.6,405.62,113.03,Fall,R,Playing,0,13.34,-67056,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,5226
24.4,Mine Cave 1,120,112,127,8.33,709.3,415.55,111.64,Land,R,Playing,0,8.95,5876,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,25,6804
25.4,Mine Cave 1,120,95,154,8.33,719.6,419.69,117.16,CeilingStick,R,Playing,0,10.51,10540,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,25,8793
26.4,Mine Cave 1,120,108,137,8.33,731.3,425.44,116.51,Fall,R,Playing,0,9.23,11952,0,-1.0,0,0,Miss,4,PlayerCursorMidpoint,-1,25,8807
27.4,Mine Cave 1,120,94,166,8.35,745.5,397.17,110.59,Fall,L,Playing,0,10.59,14544,0,-1.0,2,1,Idle,4,PlayerCursorMidpoint,-1,22,4364
28.4,Mine Cave 1,120,110,132,8.33,760.1,399.94,110.75,Fall,R,Playing,0,9.11,14904,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,22,4377
29.4,Mine Cave 1,120,115,128,8.33,775.8,399.74,111.37,JumpUp,R,Playing,0,8.72,16112,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,22,4385
30.4,Mine Cave 1,120,108,135,8.33,704.7,403.90,117.07,WallSlideR,R,Playing,0,9.30,-72792,1,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,25,5220
31.4,Mine Cave 1,120,111,129,8.33,711.9,403.89,115.05,WallSlideR,R,Playing,0,9.02,7336,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,25,5225
32.4,Mine Cave 1,120,114,131,8.33,722.7,411.54,111.64,Land,R,Playing,0,8.80,11104,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,22,5224
33.4,Mine Cave 1,120,114,126,8.33,735.9,419.34,111.73,Land,R,Playing,0,8.78,13460,0,-1.0,1,2,Pulling,4,PlayerCursorMidpoint,-1,25,8813
34.4,Mine Cave 1,120,113,127,8.33,750.4,421.54,119.16,CeilingStick,R,Playing,0,8.83,14928,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,25,8796
35.4,Mine Cave 1,120,115,127,8.33,765.4,425.57,124.17,CeilingStick,R,Playing,0,8.69,15364,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,25,6833
36.4,Mine Cave 1,120,72,460,8.33,703.1,433.26,122.64,Land,R,Playing,0,13.80,-63796,1,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,25,5738
37.4,Mine Cave 1,120,116,125,8.33,706.5,436.18,121.64,Land,R,Playing,0,8.62,3416,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,26,6006
38.4,Mine Cave 1,120,113,126,8.33,715.1,435.50,121.64,Idle,R,Playing,0,8.87,8880,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,25,5738
39.4,Mine Cave 1,120,115,126,8.33,726.5,435.50,121.64,Idle,R,Paused,0,8.70,11656,0,-1.0,0,2,Idle,4,PlayerCursorMidpoint,-1,27,5792
# summary duration_s=39.4 frames=4570 fps_avg_global=117 fps_min_session=1 hitch_total=5
