# Inkform performance log
# startedAt=2026-09-05T21:31:07
# branch=Test
# commit=fc1e9772a5a95f8b6e54c75a228bc3acd7322615
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,19,1,291,52.69,673.9,364.14,111.68,Land,R,Playing,2,789.44,-33904,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6309
2.2,Mine Cave 1,114,32,298,8.78,674.4,368.54,112.50,JumpUp,R,Playing,0,31.07,556,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,29,6310
3.2,Mine Cave 1,120,73,328,8.34,676.6,374.03,111.64,Land,R,Playing,0,13.63,2240,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,30,5105
4.2,Mine Cave 1,120,68,362,8.34,679.6,375.87,111.64,Idle,R,Playing,0,14.78,2996,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,29,5667
5.2,Mine Cave 1,120,70,402,8.37,683.6,372.03,111.64,Move,L,Playing,0,14.21,4104,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,30,5681
6.3,Mine Cave 1,120,82,292,8.33,687.9,361.83,113.21,JumpUp,L,Playing,0,12.20,4424,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6291
7.3,Mine Cave 1,120,75,300,8.33,691.9,354.50,111.64,Land,L,Playing,0,13.38,4148,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,3507
8.3,Mine Cave 1,120,74,318,8.34,696.0,360.35,111.64,Land,R,Playing,0,13.59,4164,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,22,6287
9.3,Mine Cave 1,120,72,363,8.33,700.4,360.35,111.64,Idle,R,Playing,0,13.81,4548,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,6285
