# Inkform performance log
# startedAt=2026-09-05T21:47:23
# branch=Test
# commit=2a82e8f0e381ba3eb6ceb090193d0bad83156994
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,19,1,152,52.63,676.9,364.14,111.88,Fall,R,Playing,2,818.95,-32440,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6122
2.2,Mine Cave 1,112,31,192,8.89,677.4,364.14,111.64,Land,R,Playing,0,32.37,556,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6119
3.2,Mine Cave 1,99,8,341,10.12,680.9,364.14,111.64,Idle,R,Playing,1,124.19,3528,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6121
4.3,Mine Cave 1,120,89,208,8.34,689.4,364.14,111.64,Idle,R,Playing,0,11.18,8700,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,6121
5.3,Mine Cave 1,117,31,272,8.57,700.9,364.14,111.64,Idle,R,Playing,0,32.20,11804,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,26,6121
6.3,Mine Cave 1,120,76,313,8.32,712.4,364.14,111.64,Idle,R,Playing,0,13.09,11840,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6121
7.3,Mine Cave 1,120,86,176,8.34,723.8,364.14,111.64,Idle,R,Playing,0,11.62,11672,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,6121
8.3,Mine Cave 1,119,69,216,8.39,734.8,364.14,111.64,Idle,R,Playing,0,14.40,11268,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,26,6119
9.3,Mine Cave 1,120,82,247,8.34,745.8,371.53,113.09,Fall,R,Playing,0,12.18,11184,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,5483
10.3,Mine Cave 1,118,39,278,8.48,683.4,369.98,111.64,Land,L,Playing,0,25.53,-63908,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,28,5515
11.3,Mine Cave 1,120,74,255,8.31,686.2,366.99,111.65,Idle,L,Playing,0,13.46,2920,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,27,5488
12.3,Mine Cave 1,120,75,320,8.33,691.4,368.23,111.64,Idle,R,Playing,0,13.42,5280,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,28,5506
13.3,Mine Cave 1,120,75,356,8.34,698.5,373.54,113.06,JumpUp,R,Playing,0,13.34,7320,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,5468
14.3,Mine Cave 1,120,63,200,8.34,707.3,383.54,110.63,Fall,R,Playing,0,15.88,8996,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,22,6423
15.3,Mine Cave 1,120,72,258,8.32,716.4,385.17,109.64,Land,R,Playing,0,13.91,9300,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,6431
16.3,Mine Cave 1,120,90,169,8.34,725.9,395.17,111.21,JumpUp,R,Playing,0,11.12,9724,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,22,5313
