# Inkform performance log
# startedAt=2026-09-05T22:12:26
# branch=Test
# commit=67d9bd36e68129d8a4975afecf69a7cb4fecc890
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.2,Mine Cave 1,31,1,282,32.59,679.4,364.14,111.64,Land,R,Playing,2,713.26,-30968,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,52,11062
2.2,Mine Cave 1,120,66,360,8.36,679.9,365.44,111.64,Land,R,Playing,0,15.26,536,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,4636
3.2,Mine Cave 1,120,91,171,8.32,681.8,371.71,111.64,Land,R,Playing,0,10.96,1924,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,27,4899
4.2,Mine Cave 1,120,87,160,8.34,685.1,371.71,111.64,Land,R,Paused,0,11.45,3452,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,29,4955
5.2,Mine Cave 1,120,102,147,8.33,689.3,371.71,111.64,Land,R,Paused,0,9.79,4272,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,29,4955
6.2,Mine Cave 1,108,16,476,9.23,696.3,371.71,111.64,Land,R,Paused,3,63.03,7172,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,29,4955
7.2,Mine Cave 1,120,114,127,8.33,710.2,378.40,111.64,Land,R,Playing,0,8.77,14164,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,26,4882
8.2,Mine Cave 1,120,97,158,8.33,724.2,369.25,111.64,Move,L,Playing,0,10.32,14368,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,28,4926
9.3,Mine Cave 1,120,82,133,8.36,739.5,365.60,111.64,Idle,L,Playing,0,12.17,15672,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,5529
10.3,Mine Cave 1,119,58,237,8.41,680.4,365.60,111.64,Idle,L,Playing,0,17.13,-60484,1,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,5529
11.3,Mine Cave 1,120,114,126,8.33,686.4,366.66,111.64,Move,R,Playing,0,8.81,6068,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,22,4630
12.3,Mine Cave 1,120,114,126,8.33,698.8,367.81,111.64,Idle,R,Playing,0,8.75,12752,0,-1.0,0,0,Flying,4,PlayerCursorMidpoint,-1,24,4336
13.3,Mine Cave 1,120,110,132,8.33,713.1,376.95,112.50,JumpUp,R,Playing,0,9.08,14604,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,26,4868
14.3,Mine Cave 1,120,114,127,8.33,727.6,386.95,109.64,Land,R,Playing,0,8.76,14904,0,-1.0,2,0,Flying,4,PlayerCursorMidpoint,-1,22,6232
15.3,Mine Cave 1,120,116,125,8.33,744.3,396.63,109.64,Land,R,Playing,0,8.64,17076,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,22,5108
