# Inkform performance log
# startedAt=2026-09-06T13:54:09
# branch=Test
# commit=7e1dc511c54b794608f141a19e226fa9073a8a85
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,PlayerTest,18,1,141,56.32,676.0,-1.90,-0.76,Fall,R,Playing,3,789.46,-30880,1,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,31,1822
2.3,PlayerTest,109,31,387,9.20,676.3,-1.90,-0.76,Land,R,Playing,0,32.46,392,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,31,1819
3.3,PlayerTest,120,75,296,8.33,678.5,-1.90,-0.76,Idle,R,Playing,0,13.34,2224,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,62,3630
4.3,PlayerTest,120,64,423,8.35,682.5,-1.90,-0.76,Idle,R,Playing,0,15.67,4048,0,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,31,1819
5.3,PlayerTest,101,12,216,9.87,690.5,-1.11,-0.76,Move,R,Playing,2,86.56,8264,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,33,1833
6.3,PlayerTest,120,106,139,8.33,705.3,3.81,-0.70,Land,L,Playing,0,9.44,15088,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,35,1859
7.3,PlayerTest,120,111,125,8.35,720.4,2.18,-0.70,Idle,L,Playing,0,9.00,15512,0,-1.0,2,0,Idle,1,PlayerCursorMidpoint,-1,35,1875
8.3,PlayerTest,120,105,141,8.33,737.8,6.26,-0.70,Idle,R,Playing,0,9.51,17824,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,32,1289
9.3,PlayerTest,120,86,153,8.35,675.6,4.59,-0.70,Idle,L,Playing,0,11.69,-63676,1,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,34,1861
10.3,PlayerTest,120,112,134,8.33,684.1,2.33,1.02,JumpUp,L,Playing,0,8.95,8660,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,32,1830
11.3,PlayerTest,120,112,128,8.33,698.1,-1.69,-0.76,Land,L,Playing,0,8.89,14360,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,30,1808
12.3,PlayerTest,120,115,125,8.33,713.3,-4.79,2.64,Land,L,Playing,0,8.67,15524,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,30,1810
13.3,PlayerTest,120,115,125,8.33,729.5,-11.35,3.30,Land,L,Playing,0,8.70,16640,0,-1.0,4,0,Idle,1,PlayerCursorMidpoint,-1,26,804
14.3,PlayerTest,120,115,126,8.33,750.1,-10.75,7.11,JumpUp,R,Playing,0,8.73,21092,0,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,22,486
15.3,PlayerTest,120,81,209,8.34,675.1,-12.42,5.81,Rise,L,Playing,0,12.30,-76792,1,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,26,808
16.3,PlayerTest,120,111,134,8.33,682.1,-12.22,9.33,JumpUp,R,Playing,0,9.00,7116,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,18,330
17.3,PlayerTest,120,116,127,8.34,695.5,-9.97,3.31,Land,R,Playing,0,8.63,13700,0,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,27,1798
18.3,PlayerTest,120,114,125,8.33,710.4,-3.82,3.30,JumpUp,R,Playing,0,8.74,15320,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,30,1809
19.3,PlayerTest,120,116,125,8.33,725.6,2.13,3.05,Land,R,Playing,0,8.65,15588,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,32,1831
20.3,PlayerTest,120,115,126,8.33,745.5,3.71,3.05,Idle,R,Playing,0,8.69,20300,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,32,1831
21.3,PlayerTest,120,64,519,8.34,675.0,6.32,3.05,Idle,R,Playing,0,15.54,-72124,1,-1.0,2,0,Idle,1,PlayerCursorMidpoint,-1,32,1823
22.3,PlayerTest,120,115,125,8.33,679.4,9.71,0.71,JumpUp,R,Playing,0,8.72,4424,0,-1.0,0,0,Idle,1,PlayerCursorMidpoint,-1,32,1056
23.4,PlayerTest,120,115,125,8.33,692.7,16.00,1.30,JumpUp,R,Playing,0,8.70,13672,0,-1.0,1,0,Idle,1,PlayerCursorMidpoint,-1,28,1047
24.4,PlayerTest,120,108,134,8.33,707.5,21.87,4.30,Land,R,Playing,0,9.23,15148,0,-1.0,2,0,Idle,1,PlayerCursorMidpoint,-1,16,955
25.4,PlayerTest,120,114,126,8.33,723.0,24.64,4.34,Land,R,Playing,0,8.74,15912,0,-1.0,0,1,Idle,1,PlayerCursorMidpoint,-1,18,1814
26.4,PlayerTest,120,115,125,8.33,742.3,22.86,6.24,Fall,R,Playing,0,8.70,19736,0,-1.0,2,1,Idle,1,PlayerCursorMidpoint,-1,16,1419
27.4,PlayerTest,120,115,127,8.33,762.4,26.98,6.17,Rise,R,Playing,0,8.68,20556,0,-1.0,0,1,Idle,1,PlayerCursorMidpoint,-1,16,1422
