# Inkform performance log
# startedAt=2026-09-06T16:23:48
# branch=Test
# commit=5ad376af559f98c28de199a6c453baebe269dd4c
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,4,1,187,250.79,679.0,362.71,81.88,Fall,R,Playing,2,902.30,-24696,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2606
2.4,Mine Cave 1,114,31,195,8.75,679.2,362.71,80.70,Land,R,Playing,0,32.44,256,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,18,2604
3.4,Mine Cave 1,120,77,338,8.33,681.6,362.71,80.70,Idle,R,Playing,0,13.05,2484,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
4.4,Mine Cave 1,120,78,220,8.36,685.7,362.71,80.70,Idle,R,Playing,0,12.87,4136,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
5.4,Mine Cave 1,119,61,279,8.38,690.2,362.71,80.70,Idle,R,Playing,0,16.50,4652,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
6.4,Mine Cave 1,120,83,245,8.34,694.9,362.71,80.70,Idle,R,Playing,0,12.10,4768,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
7.4,Mine Cave 1,120,74,293,8.33,699.9,362.71,80.70,Idle,R,Playing,0,13.46,5140,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
8.4,Mine Cave 1,120,94,178,8.33,705.3,362.71,80.70,Idle,R,Playing,0,10.67,5500,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
9.4,Mine Cave 1,120,81,259,8.34,710.8,362.71,80.70,Idle,R,Playing,0,12.31,5644,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
10.4,Mine Cave 1,120,72,312,8.32,717.3,362.71,80.70,Idle,R,Playing,0,13.86,6676,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
11.4,Mine Cave 1,120,84,199,8.33,725.7,362.71,80.70,Idle,R,Playing,0,11.90,8564,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
12.4,Mine Cave 1,120,99,151,8.33,733.9,362.71,80.70,Idle,R,Playing,0,10.15,8424,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,18,2605
13.4,Mine Cave 1,119,71,274,8.37,741.8,362.71,80.70,Idle,R,Paused,0,14.11,8112,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,20,2661
# summary duration_s=13.4 frames=1443 fps_avg_global=111 fps_min_session=1 hitch_total=2
