# Inkform performance log
# startedAt=2026-09-06T19:48:38
# branch=Test
# commit=7077bfd5fb303f11323091bddb8e251fe7842bae
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.4,Mine Cave 1,2,1,12,515.61,685.5,235.00,76.26,Fall,R,Playing,2,948.43,-26964,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,19,2212
2.4,Mine Cave 1,113,31,306,8.83,685.8,235.00,74.64,Land,R,Playing,0,31.89,392,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1122
3.4,Mine Cave 1,119,82,392,8.37,688.0,235.00,74.64,Idle,R,Playing,0,12.18,2244,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1124
4.4,Mine Cave 1,119,55,379,8.43,691.8,235.00,74.64,Idle,R,Playing,0,18.32,3896,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1146
5.4,Mine Cave 1,119,61,354,8.41,696.2,235.00,74.64,Idle,R,Playing,0,16.40,4428,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,16,1156
6.4,Mine Cave 1,117,51,315,8.52,700.9,235.00,74.64,Idle,R,Playing,0,19.69,4816,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1602
7.4,Mine Cave 1,118,61,421,8.46,705.4,235.00,74.64,Idle,R,Playing,0,16.52,4628,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1233
8.4,Mine Cave 1,119,58,382,8.39,710.6,235.00,74.64,Idle,R,Playing,0,17.18,5376,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1235
9.4,Mine Cave 1,120,61,338,8.37,715.9,235.00,74.64,Idle,R,Playing,0,16.31,5364,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1267
10.4,Mine Cave 1,120,65,312,8.37,721.1,235.00,74.64,Idle,R,Playing,0,15.45,5384,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1265
11.4,Mine Cave 1,119,65,294,8.40,726.4,235.00,74.64,Idle,R,Playing,0,15.42,5440,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,32,2534
12.5,Mine Cave 1,119,71,346,8.37,732.4,235.00,74.64,Idle,R,Playing,0,14.07,6148,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1267
13.5,Mine Cave 1,120,63,354,8.35,740.0,235.00,74.64,Idle,R,Playing,0,15.81,7784,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1329
14.5,Mine Cave 1,120,66,265,8.36,748.0,235.00,74.64,Idle,R,Playing,0,15.13,8196,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,0,0
15.5,Mine Cave 1,116,37,319,8.59,703.4,235.00,74.64,Idle,R,Playing,0,26.94,-45700,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1345
16.5,Mine Cave 1,120,55,312,8.36,704.2,235.00,74.64,Idle,R,Playing,0,18.12,768,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1355
17.5,Mine Cave 1,120,57,334,8.34,705.7,235.00,74.64,Idle,R,Playing,0,17.64,1616,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1355
18.5,Mine Cave 1,119,64,324,8.39,708.5,235.00,74.64,Idle,R,Playing,0,15.51,2772,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1375
19.5,Mine Cave 1,120,64,340,8.36,711.8,235.00,74.64,Idle,R,Playing,0,15.63,3468,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1377
20.5,Mine Cave 1,119,56,245,8.43,715.3,235.00,74.64,Idle,R,Playing,0,17.95,3528,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1441
21.5,Mine Cave 1,120,71,438,8.35,719.1,235.00,74.64,Idle,R,Playing,0,14.08,3928,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1439
22.5,Mine Cave 1,120,67,354,8.35,723.4,235.00,74.64,Idle,R,Playing,0,15.02,4388,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1477
23.5,Mine Cave 1,120,62,296,8.37,727.8,235.00,74.64,Idle,R,Playing,0,16.12,4488,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1499
24.5,Mine Cave 1,119,61,408,8.38,731.9,235.00,74.64,Idle,R,Playing,0,16.47,4176,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1503
25.5,Mine Cave 1,120,61,442,8.35,736.3,235.00,74.64,Idle,R,Playing,0,16.38,4488,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1539
26.5,Mine Cave 1,120,69,293,8.35,740.8,235.00,74.64,Idle,R,Playing,0,14.45,4696,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,1531
27.5,Mine Cave 1,119,60,342,8.41,747.9,235.00,74.64,Idle,R,Playing,0,16.54,7268,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,1509
28.5,Mine Cave 1,120,61,313,8.35,755.9,235.00,74.64,Idle,R,Playing,0,16.50,8140,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,1571
