# Inkform performance log
# startedAt=2026-09-06T20:02:19
# branch=Test
# commit=c043e329944209a62fc3ab9c643787875363c670
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.3,Mine Cave 1,2,1,15,524.81,684.7,235.00,76.35,Fall,R,Playing,2,982.29,-36036,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,35,5216
2.3,Mine Cave 1,118,44,295,8.46,685.4,235.00,74.64,Land,R,Playing,0,22.94,684,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,2622
3.3,Mine Cave 1,113,31,218,8.83,687.9,235.00,74.64,Idle,R,Playing,0,32.25,2580,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,16,2624
4.3,Mine Cave 1,120,88,344,8.33,691.3,235.00,74.64,Idle,R,Playing,0,11.41,3488,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,2624
5.3,Mine Cave 1,119,62,161,8.40,696.2,235.00,74.64,Idle,R,Playing,0,16.22,4964,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,16,2624
6.3,Mine Cave 1,120,98,156,8.34,701.3,235.00,74.64,Idle,R,Playing,0,10.20,5316,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,16,2626
7.3,Mine Cave 1,120,101,146,8.34,706.7,235.00,74.64,Idle,R,Playing,0,9.87,5452,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,2624
8.3,Mine Cave 1,120,85,193,8.32,712.1,235.00,74.64,Idle,R,Playing,0,11.77,5588,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,16,2624
9.3,Mine Cave 1,120,75,327,8.34,717.5,235.00,74.64,Idle,R,Paused,0,13.34,5548,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
10.3,Mine Cave 1,120,71,316,8.33,723.3,235.00,74.64,Idle,R,Paused,0,14.16,5900,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
11.3,Mine Cave 1,120,78,272,8.33,729.0,235.00,74.64,Idle,R,Paused,0,12.76,5808,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
12.3,Mine Cave 1,113,24,219,8.82,734.5,235.00,74.64,Idle,R,Paused,1,41.13,5688,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
13.3,Mine Cave 1,120,63,369,8.34,742.5,235.00,74.64,Idle,R,Paused,0,15.92,8144,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
14.3,Mine Cave 1,120,87,174,8.34,750.4,235.00,74.64,Idle,R,Paused,0,11.46,8064,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
15.3,Mine Cave 1,119,40,400,8.42,702.5,235.00,74.64,Idle,R,Paused,0,24.97,-49012,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
16.3,Mine Cave 1,120,104,148,8.34,703.7,235.00,74.64,Idle,R,Paused,0,9.58,1188,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
17.3,Mine Cave 1,120,94,165,8.34,706.5,235.00,74.64,Idle,R,Paused,0,10.62,2916,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
18.3,Mine Cave 1,115,39,220,8.73,708.9,235.00,74.64,Idle,R,Paused,0,25.93,2460,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
19.3,Mine Cave 1,120,56,293,8.35,712.5,235.00,74.64,Idle,R,Paused,0,18.00,3700,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
20.4,Mine Cave 1,85,3,224,11.79,717.4,235.00,74.64,Idle,R,Paused,1,286.47,4980,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
21.4,Mine Cave 1,120,97,161,8.35,721.3,235.00,74.64,Idle,R,Paused,0,10.27,4028,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
22.4,Mine Cave 1,115,18,267,8.69,726.8,235.00,74.64,Idle,R,Paused,1,55.11,5560,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
23.4,Mine Cave 1,120,97,160,8.32,734.9,235.00,74.64,Idle,R,Paused,0,10.32,8396,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
24.4,Mine Cave 1,120,97,164,8.35,743.7,235.00,74.64,Idle,R,Paused,0,10.33,8928,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
25.4,Mine Cave 1,120,98,162,8.32,754.2,235.00,74.64,Idle,R,Paused,0,10.22,10748,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2678
26.4,Mine Cave 1,120,97,154,8.33,766.9,235.00,74.64,Idle,R,Paused,0,10.28,13036,0,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,18,2680
