# Inkform performance log
# startedAt=2026-09-06T21:19:48
# branch=Test
# commit=d2afd4c531f7352d633e95271469ff47cc4a00ba
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
3.1,Mine Cave 1,98,13,421,10.17,684.0,235.00,74.64,Land,R,Playing,3,76.28,-21768,1,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,20,3206
4.1,Mine Cave 1,119,73,129,8.38,694.1,235.00,74.64,Idle,R,Playing,0,13.63,10400,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,20,3206
5.1,Mine Cave 1,120,115,125,8.33,708.3,235.00,74.64,Idle,R,Playing,0,8.69,14544,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,20,3206
6.2,Mine Cave 1,119,74,129,8.38,722.4,235.00,74.64,Idle,R,Playing,0,13.44,14364,0,-1.0,6,0,Idle,2,PlayerCursorMidpoint,-1,20,3206
7.2,Mine Cave 1,120,114,128,8.33,736.3,235.00,74.64,Idle,R,Playing,0,8.78,14280,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,20,3206
8.2,Mine Cave 1,120,59,327,8.35,678.2,237.43,74.64,Move,R,Playing,0,16.86,-59508,1,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,21,3214
9.2,Mine Cave 1,120,103,138,8.34,683.0,238.09,74.64,Idle,L,Playing,0,9.66,4944,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,22,2750
10.2,Mine Cave 1,120,113,129,8.33,693.8,236.42,74.64,Idle,L,Playing,0,8.84,10984,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,23,3242
11.2,Mine Cave 1,120,112,127,8.33,707.3,237.36,74.64,Move,R,Playing,0,8.91,13880,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,22,3227
12.2,Mine Cave 1,120,106,138,8.33,721.4,246.79,77.15,Rise,R,Playing,0,9.42,14380,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,20,2705
13.2,Mine Cave 1,120,108,137,8.33,735.2,256.79,78.15,JumpUp,R,Playing,0,9.22,14228,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,20,5570
14.2,Mine Cave 1,120,109,133,8.33,753.8,266.42,82.23,JumpUp,R,Playing,0,9.18,18988,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,20,4986
15.2,Mine Cave 1,120,58,337,8.36,678.4,272.61,77.74,JumpUp,R,Playing,0,17.29,-77188,1,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,20,2626
16.2,Mine Cave 1,120,113,130,8.33,683.6,272.47,83.68,JumpUp,R,Playing,0,8.83,5336,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,20,3974
17.2,Mine Cave 1,120,112,126,8.34,695.1,268.50,89.38,Rise,L,Playing,0,8.94,11796,0,-1.0,3,0,Pulling,2,PlayerCursorMidpoint,-1,20,3730
18.2,Mine Cave 1,120,114,127,8.33,708.5,268.90,96.00,Rise,R,Playing,0,8.76,13664,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,20,3726
19.2,Mine Cave 1,120,113,130,8.33,722.1,276.03,98.50,JumpUp,R,Playing,0,8.85,13928,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,20,3292
20.2,Mine Cave 1,120,114,127,8.33,736.8,286.03,97.64,Land,R,Playing,0,8.74,15076,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,4698
21.2,Mine Cave 1,120,112,128,8.33,755.4,295.42,99.16,CeilingMove,R,Playing,0,8.95,19076,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,4605
22.2,Mine Cave 1,120,66,376,8.34,678.5,304.77,96.30,JumpUp,R,Playing,0,15.22,-78772,1,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,3241
23.2,Mine Cave 1,120,112,127,8.33,684.7,311.47,101.40,JumpUp,R,Playing,0,8.96,6304,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,3325
24.3,Mine Cave 1,120,110,129,8.33,696.9,310.34,104.69,Fall,L,Playing,0,9.11,12516,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,23,3240
25.3,Mine Cave 1,120,114,127,8.33,710.5,310.39,105.92,Fall,R,Playing,0,8.78,13908,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,23,3242
26.3,Mine Cave 1,120,113,128,8.33,724.3,311.47,100.58,JumpUp,R,Playing,0,8.84,14160,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,3243
27.3,Mine Cave 1,120,113,129,8.33,739.2,311.57,104.76,JumpUp,L,Playing,0,8.88,15260,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,23,3240
28.3,Mine Cave 1,120,109,131,8.33,757.7,308.50,110.55,Rise,L,Playing,0,9.18,18924,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,23,4169
29.3,Mine Cave 1,120,60,314,8.35,678.8,311.90,110.87,Land,R,Playing,0,16.53,-80824,1,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,4718
30.3,Mine Cave 1,120,113,128,8.33,686.6,321.29,111.95,Fall,R,Playing,0,8.88,7996,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,6561
31.3,Mine Cave 1,120,111,131,8.34,698.5,321.71,117.16,CeilingStick,R,Playing,0,8.97,12232,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,6561
32.3,Mine Cave 1,120,112,127,8.33,712.6,324.43,111.64,Land,R,Playing,0,8.92,14412,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,6564
33.3,Mine Cave 1,120,110,133,8.33,726.0,334.03,111.64,Move,R,Playing,0,9.08,13756,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,5501
34.3,Mine Cave 1,120,109,131,8.33,741.2,343.43,112.16,Fall,R,Playing,0,9.16,15536,0,-1.0,5,0,Idle,2,PlayerCursorMidpoint,-1,27,3092
35.3,Mine Cave 1,120,110,134,8.33,759.5,340.80,111.88,JumpUp,R,Playing,0,9.12,18744,0,-1.0,2,0,Idle,2,PlayerCursorMidpoint,-1,23,3113
36.3,Mine Cave 1,120,87,145,8.35,679.0,352.81,113.62,Fall,R,Playing,0,11.54,-82472,1,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,27,4192
37.3,Mine Cave 1,120,115,127,8.33,686.8,365.00,113.39,JumpUp,R,Playing,0,8.72,8012,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,7074
38.3,Mine Cave 1,120,111,131,8.33,699.1,375.00,111.64,Land,R,Playing,0,9.02,12620,0,-1.0,4,0,Idle,2,PlayerCursorMidpoint,-1,23,5589
39.3,Mine Cave 1,120,104,136,8.33,713.2,385.20,111.23,Fall,R,Playing,0,9.58,14452,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,26,6864
40.3,Mine Cave 1,120,114,129,8.34,727.4,395.18,111.16,JumpUp,R,Playing,0,8.80,14508,0,-1.0,5,0,Idle,2,PlayerCursorMidpoint,-1,23,5675
41.3,Mine Cave 1,120,110,132,8.33,743.4,401.36,112.21,JumpUp,R,Playing,0,9.13,16400,0,-1.0,3,0,Idle,2,PlayerCursorMidpoint,-1,23,4560
42.3,Mine Cave 1,120,112,130,8.33,761.9,411.36,114.34,Rise,R,Playing,0,8.94,18944,0,-1.0,1,0,Idle,2,PlayerCursorMidpoint,-1,26,4857
43.3,Mine Cave 1,120,79,217,8.35,679.8,414.76,112.23,Fall,R,Playing,0,12.59,-84080,1,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,26,6572
44.3,Mine Cave 1,120,115,126,8.33,688.4,399.12,110.64,Land,R,Playing,0,8.72,8824,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,23,4554
45.3,Mine Cave 1,120,111,130,8.33,701.2,409.08,113.26,JumpUp,R,Playing,0,9.00,13056,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,23,4859
46.3,Mine Cave 1,120,107,137,8.33,714.6,418.18,112.88,Rise,R,Playing,0,9.39,13732,0,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,26,6560
47.3,Mine Cave 1,120,111,133,8.33,728.5,421.43,117.07,Fall,R,Playing,0,9.02,14280,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,8542
48.3,Mine Cave 1,120,115,129,8.33,744.8,422.71,118.76,Fall,R,Playing,0,8.72,16632,0,-1.0,1,1,Idle,2,PlayerCursorMidpoint,-1,26,7474
49.3,Mine Cave 1,120,109,128,8.34,763.2,423.50,123.36,Rise,R,Playing,0,9.16,18852,0,-1.0,1,1,Idle,2,PlayerCursorMidpoint,-1,26,7473
50.3,Mine Cave 1,119,72,226,8.37,678.1,432.18,122.95,Fall,R,Playing,0,13.82,-87112,1,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,26,4930
51.3,Mine Cave 1,120,112,130,8.34,684.3,442.18,123.39,JumpUp,R,Playing,0,8.96,6312,0,-1.0,1,1,Idle,2,PlayerCursorMidpoint,-1,26,5190
52.4,Mine Cave 1,120,113,129,8.33,696.4,442.76,119.64,Land,L,Playing,0,8.84,12424,0,-1.0,3,1,Miss,2,PlayerCursorMidpoint,-1,26,5198
53.4,Mine Cave 1,120,112,127,8.33,709.4,448.26,119.50,JumpUp,L,Playing,0,8.96,13360,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,7837
54.4,Mine Cave 1,120,113,129,8.33,723.8,442.45,119.64,Land,L,Playing,0,8.83,14716,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,5190
55.4,Mine Cave 1,120,115,125,8.33,738.6,441.03,121.69,Rise,R,Playing,0,8.66,15156,0,-1.0,2,1,Pulling,2,PlayerCursorMidpoint,-1,26,5199
56.4,Mine Cave 1,120,112,125,8.33,756.8,446.04,123.75,Fall,R,Playing,0,8.89,18608,0,-1.0,1,1,Idle,2,PlayerCursorMidpoint,-1,26,6021
57.4,Mine Cave 1,119,67,474,8.39,678.4,453.81,117.20,JumpUp,R,Playing,0,14.90,-80304,1,-1.0,5,1,Idle,2,PlayerCursorMidpoint,-1,27,8866
58.4,Mine Cave 1,120,115,124,8.33,686.2,458.11,118.64,Land,R,Playing,0,8.67,8036,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,26,6933
59.4,Mine Cave 1,120,109,133,8.33,698.4,465.14,120.51,JumpUp,R,Playing,0,9.14,12436,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,26,5212
60.4,Mine Cave 1,120,116,125,8.33,711.4,475.14,116.64,Land,R,Playing,0,8.61,13404,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,26,4874
61.4,Mine Cave 1,120,115,126,8.33,725.3,485.34,115.78,Fall,R,Playing,0,8.70,14232,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,8169
62.4,Mine Cave 1,120,115,126,8.33,739.7,489.27,112.64,Land,R,Playing,0,8.68,14716,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,8187
63.4,Mine Cave 1,120,115,125,8.33,757.8,494.16,115.28,Fall,R,Playing,0,8.71,18556,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,6062
64.4,Mine Cave 1,120,71,335,8.34,678.5,501.94,112.64,Land,R,Playing,0,14.13,-81200,1,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,26,7602
65.4,Mine Cave 1,120,107,139,8.33,686.4,510.55,114.02,Fall,R,Playing,0,9.36,8056,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,26,10041
66.4,Mine Cave 1,120,115,125,8.34,699.0,515.95,113.51,JumpUp,L,Playing,0,8.72,12896,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,26,8068
67.4,Mine Cave 1,120,111,135,8.33,712.8,516.51,110.90,WallSlideL,R,Playing,0,9.04,14180,0,-1.0,2,1,Pulling,2,PlayerCursorMidpoint,-1,23,10070
68.4,Mine Cave 1,120,114,129,8.34,727.1,514.87,111.64,Land,R,Playing,0,8.75,14612,0,-1.0,5,1,Idle,2,PlayerCursorMidpoint,-1,23,10051
69.4,Mine Cave 1,119,72,127,8.38,740.6,522.53,112.99,Fall,R,Playing,0,13.82,13844,0,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,26,7404
70.4,Mine Cave 1,120,112,129,8.33,758.7,522.66,111.64,Land,L,Playing,0,8.93,18544,0,-1.0,2,1,Idle,2,PlayerCursorMidpoint,-1,23,8104
71.4,Mine Cave 1,120,73,322,8.34,678.8,523.56,111.64,Land,R,Playing,0,13.66,-81864,1,-1.0,7,1,Idle,2,PlayerCursorMidpoint,-1,23,7410
72.4,Mine Cave 1,119,78,129,8.37,686.8,523.56,111.64,Idle,R,Playing,0,12.86,8236,0,-1.0,4,1,Idle,2,PlayerCursorMidpoint,-1,24,7637
73.4,Mine Cave 1,120,115,127,8.33,699.0,531.97,112.11,Fall,R,Playing,0,8.67,12404,0,-1.0,3,1,Idle,2,PlayerCursorMidpoint,-1,23,5665
74.4,Mine Cave 1,120,113,130,8.33,712.5,535.57,107.85,Fall,R,Playing,0,8.84,13836,0,-1.0,5,2,Idle,2,PlayerCursorMidpoint,-1,23,3118
75.4,Mine Cave 1,120,114,126,8.33,726.8,521.80,112.58,Fall,R,Playing,0,8.77,14708,0,-1.0,2,2,Idle,2,PlayerCursorMidpoint,-1,26,7346
76.4,Mine Cave 1,120,114,126,8.33,742.9,532.00,111.69,Fall,R,Playing,0,8.77,16416,0,-1.0,1,2,Idle,2,PlayerCursorMidpoint,-1,23,5633
77.4,Mine Cave 1,120,114,125,8.33,761.5,537.96,109.64,Land,R,Playing,0,8.78,19088,0,-1.0,5,2,Idle,2,PlayerCursorMidpoint,-1,23,5626
78.5,Mine Cave 1,120,62,347,8.34,680.2,546.90,112.39,WallSlideR,R,Playing,0,16.22,-83264,1,-1.0,3,2,Idle,2,PlayerCursorMidpoint,-1,23,12417
79.5,Mine Cave 1,120,113,127,8.33,690.0,550.79,116.88,JumpUp,R,Playing,0,8.84,10092,0,-1.0,3,2,Idle,2,PlayerCursorMidpoint,-1,26,12419
80.5,Mine Cave 1,120,114,126,8.34,703.3,551.32,122.14,JumpUp,L,Playing,0,8.80,13596,0,-1.0,4,2,Idle,2,PlayerCursorMidpoint,-1,26,9324
81.5,Mine Cave 1,120,113,127,8.33,717.1,551.90,126.44,WallSlideR,R,Playing,0,8.84,14104,0,-1.0,2,2,Idle,2,PlayerCursorMidpoint,-1,26,7263
82.5,Mine Cave 1,120,114,125,8.34,731.3,554.09,131.76,JumpUp,R,Playing,0,8.74,14532,0,-1.0,1,2,Idle,2,PlayerCursorMidpoint,-1,26,5690
83.5,Mine Cave 1,120,111,128,8.33,748.2,554.92,134.12,Fall,L,Playing,0,9.04,17356,0,-1.0,4,2,Pulling,2,PlayerCursorMidpoint,-1,26,5695
