# Inkform performance log
# startedAt=2026-09-07T18:56:24
# branch=Test
# commit=a8c225273e7f80f9805e26027029318a61d4fefe
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=32474 quality=Very Low
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
1.4,Mine Cave 1,9,1,119,111.16,678.4,228.79,75.27,Fall,R,Playing,2,848.87,-32300,1,-1.0,0,0,Idle,4,PlayerCursorMidpoint,-1,17,1716
2.4,Mine Cave 1,110,31,212,9.10,678.9,228.79,74.64,Land,R,Playing,0,32.15,488,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,17,1716
3.4,Mine Cave 1,111,34,234,9.04,679.6,228.79,74.64,Idle,R,Playing,0,29.40,716,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,0,0
4.4,Mine Cave 1,101,13,266,9.90,684.1,228.79,74.64,Idle,R,Playing,3,78.69,4644,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,17,1720
5.4,Mine Cave 1,120,112,130,8.33,695.4,234.89,77.21,Fall,R,Playing,0,8.97,11568,0,-1.0,5,0,Idle,4,PlayerCursorMidpoint,-1,21,3216
6.4,Mine Cave 1,120,97,150,8.33,708.6,235.47,74.64,Land,R,Playing,0,10.29,13484,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,21,3209
7.4,Mine Cave 1,120,114,128,8.33,722.0,238.44,75.51,Rise,L,Playing,0,8.80,13792,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,21,2717
8.5,Mine Cave 1,120,114,126,8.33,735.7,247.25,76.87,JumpUp,R,Playing,0,8.79,14004,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,21,2719
9.5,Mine Cave 1,120,61,468,8.34,674.5,257.25,76.71,Fall,R,Playing,0,16.30,-62624,1,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,21,3402
10.5,Mine Cave 1,120,113,127,8.33,682.1,263.62,79.63,Land,R,Playing,0,8.81,7776,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,21,5005
11.5,Mine Cave 1,120,112,128,8.33,694.3,272.65,81.22,Fall,R,Playing,0,8.91,12472,0,-1.0,5,0,Idle,4,PlayerCursorMidpoint,-1,21,3994
12.5,Mine Cave 1,120,110,134,8.33,707.5,274.90,84.98,WallSlideR,R,Playing,0,9.05,13520,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,21,3992
13.5,Mine Cave 1,120,114,126,8.33,721.2,269.08,88.94,JumpUp,L,Playing,0,8.79,14016,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,21,3738
14.5,Mine Cave 1,120,111,135,8.33,735.5,272.12,94.20,Rise,R,Playing,0,9.04,14616,0,-1.0,5,0,Idle,4,PlayerCursorMidpoint,-1,21,3307
15.5,Mine Cave 1,120,115,125,8.33,753.6,277.20,96.64,Land,R,Playing,0,8.73,18512,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,24,3324
16.5,Mine Cave 1,120,76,220,8.34,674.7,284.78,97.97,Fall,R,Playing,0,13.10,-80776,1,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,24,5205
17.5,Mine Cave 1,120,113,132,8.33,681.8,292.75,99.16,CeilingMove,R,Playing,0,8.88,7324,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,5204
18.5,Mine Cave 1,120,113,125,8.34,693.6,300.95,99.00,Fall,R,Playing,0,8.88,12100,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,24,4614
19.5,Mine Cave 1,120,115,126,8.33,706.9,310.95,99.37,JumpUp,R,Playing,0,8.71,13552,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,24,2341
20.5,Mine Cave 1,120,114,127,8.33,719.1,311.72,101.52,JumpUp,R,Playing,0,8.79,12540,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,3037
21.5,Mine Cave 1,120,113,126,8.33,731.8,312.73,102.87,Rise,L,Playing,0,8.86,13016,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,24,3036
22.5,Mine Cave 1,120,101,152,8.33,749.3,308.92,109.42,Rise,L,Playing,0,9.92,17864,0,-1.0,3,0,Flying,4,PlayerCursorMidpoint,-1,24,4145
23.5,Mine Cave 1,120,68,349,8.33,674.7,311.90,110.65,Land,R,Playing,0,14.75,-76372,1,-1.0,5,0,Idle,4,PlayerCursorMidpoint,-1,24,3623
24.5,Mine Cave 1,120,111,128,8.33,678.7,321.09,113.94,Fall,R,Playing,0,9.05,4128,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5465
25.5,Mine Cave 1,120,111,142,8.33,689.0,321.85,111.64,Land,R,Playing,0,9.04,10556,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5467
26.5,Mine Cave 1,120,112,128,8.33,702.1,321.72,117.16,CeilingStick,R,Playing,0,8.95,13372,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,4972
27.5,Mine Cave 1,120,113,125,8.33,715.4,324.80,111.64,Land,R,Playing,0,8.82,13584,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5475
28.5,Mine Cave 1,118,49,132,8.51,728.0,325.15,111.65,Idle,L,Playing,0,20.32,12944,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,5495
29.5,Mine Cave 1,120,111,130,8.33,743.6,322.82,111.65,Idle,L,Playing,0,9.02,15992,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5474
30.5,Mine Cave 1,119,66,129,8.39,760.6,321.73,117.16,CeilingStick,L,Playing,0,15.26,17356,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,24,4970
31.5,Mine Cave 1,120,75,237,8.34,676.6,325.07,112.30,JumpUp,R,Playing,0,13.34,-85948,1,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5470
32.6,Mine Cave 1,120,114,125,8.33,685.9,335.27,111.64,Land,R,Playing,0,8.75,9504,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5204
33.6,Mine Cave 1,120,115,126,8.33,698.3,342.83,111.64,Land,R,Playing,0,8.69,12724,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,28,4754
34.6,Mine Cave 1,120,105,136,8.33,712.0,346.94,113.50,JumpUp,R,Playing,0,9.51,13976,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,28,4755
35.6,Mine Cave 1,120,113,126,8.34,725.7,359.47,111.65,Land,R,Playing,0,8.87,13996,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,28,5887
36.6,Mine Cave 1,120,114,128,8.33,741.3,369.35,111.64,Land,R,Playing,0,8.80,16004,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,24,4422
37.6,Mine Cave 1,120,115,126,8.33,759.1,379.55,112.88,JumpUp,R,Playing,0,8.70,18280,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,4406
38.6,Mine Cave 1,120,70,445,8.34,676.2,389.55,109.64,Land,R,Playing,0,14.33,-84960,1,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,5232
39.6,Mine Cave 1,120,113,126,8.33,684.6,398.31,110.64,Land,R,Playing,0,8.87,8632,0,-1.0,3,0,Idle,4,PlayerCursorMidpoint,-1,24,6551
40.6,Mine Cave 1,120,115,126,8.33,697.3,403.08,113.29,Rise,R,Playing,0,8.69,12992,0,-1.0,1,0,Idle,4,PlayerCursorMidpoint,-1,27,6560
41.6,Mine Cave 1,120,112,135,8.33,710.7,413.07,112.09,JumpUp,R,Playing,0,8.94,13776,0,-1.0,4,0,Idle,4,PlayerCursorMidpoint,-1,24,6885
42.6,Mine Cave 1,120,108,131,8.34,723.9,418.05,116.16,CeilingStick,R,Playing,0,9.22,13492,0,-1.0,2,0,Idle,4,PlayerCursorMidpoint,-1,27,6274
43.6,Mine Cave 1,120,115,132,8.32,739.0,421.27,117.87,Rise,R,Playing,0,8.73,15484,0,-1.0,1,0,Pulling,4,PlayerCursorMidpoint,-1,27,6287
44.6,Mine Cave 1,119,55,131,8.42,756.4,423.56,116.37,Fall,R,Playing,0,18.16,17820,0,-1.0,2,1,Idle,4,PlayerCursorMidpoint,-1,27,6296
45.6,Mine Cave 1,120,85,209,8.34,675.5,398.86,111.98,JumpUp,R,Playing,0,11.76,-82844,1,-1.0,3,1,Idle,4,PlayerCursorMidpoint,-1,24,6555
46.6,Mine Cave 1,120,114,131,8.33,683.9,399.92,110.64,Land,R,Playing,0,8.81,8516,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,24,6567
47.6,Mine Cave 1,120,115,126,8.33,696.8,398.23,111.11,Fall,R,Playing,0,8.69,13244,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,24,6570
48.6,Mine Cave 1,120,114,126,8.33,710.1,405.52,112.74,Fall,R,Playing,0,8.74,13580,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,27,6558
49.6,Mine Cave 1,120,110,133,8.34,723.1,415.70,111.68,Land,R,Playing,0,9.06,13408,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6886
50.6,Mine Cave 1,120,109,129,8.33,737.7,419.55,111.90,Fall,R,Playing,0,9.18,14948,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,6892
51.6,Mine Cave 1,120,112,126,8.33,755.5,420.10,117.16,CeilingStick,R,Playing,0,8.94,18136,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6279
52.6,Mine Cave 1,120,57,240,8.36,674.0,422.77,118.34,Fall,R,Playing,0,17.57,-83424,1,-1.0,1,2,Flying,4,PlayerCursorMidpoint,-1,27,6285
53.6,Mine Cave 1,120,111,131,8.33,678.1,421.52,119.16,CeilingStick,R,Playing,0,8.99,4240,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6288
54.7,Mine Cave 1,120,112,130,8.34,688.8,422.72,123.54,Rise,R,Playing,0,8.91,10900,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,27,5209
55.7,Mine Cave 1,120,112,130,8.33,701.2,429.76,123.94,Fall,R,Playing,0,8.90,12764,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,27,5404
56.7,Mine Cave 1,120,111,133,8.33,714.9,437.35,121.71,Land,R,Playing,0,9.03,14032,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,27,3805
57.7,Mine Cave 1,120,113,129,8.33,728.6,435.74,121.64,Land,R,Playing,0,8.84,13996,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,3798
58.7,Mine Cave 1,120,111,129,8.33,744.9,443.26,119.64,Land,R,Playing,0,9.02,16676,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,27,3799
59.7,Mine Cave 1,120,94,179,8.33,674.1,442.43,119.64,Idle,L,Playing,0,10.60,-72476,1,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,3800
60.7,Mine Cave 1,120,114,126,8.33,678.1,443.18,123.36,Rise,R,Playing,0,8.74,4112,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,3797
61.7,Mine Cave 1,120,107,135,8.33,688.3,449.16,118.64,Land,R,Playing,0,9.35,10400,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6454
62.7,Mine Cave 1,116,36,133,8.59,700.3,445.23,120.31,Fall,L,Playing,0,28.16,12316,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6446
63.7,Mine Cave 1,120,111,135,8.33,713.3,441.01,120.77,Rise,R,Playing,0,9.04,13268,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,27,3799
64.7,Mine Cave 1,120,110,136,8.33,727.0,450.68,118.56,Fall,R,Playing,0,9.13,14020,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6472
65.7,Mine Cave 1,120,110,131,8.33,743.4,457.55,118.64,Land,R,Playing,0,9.12,16804,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6281
66.7,Mine Cave 1,120,115,125,8.33,761.4,457.55,118.64,Idle,R,Playing,0,8.68,18496,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,27,6287
67.7,Mine Cave 1,120,64,362,8.34,677.5,457.55,118.64,Idle,R,Playing,0,15.73,-85964,1,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,6291
68.7,Mine Cave 1,120,110,126,8.34,687.9,458.79,118.64,Move,R,Playing,0,9.09,10680,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,6283
69.7,Mine Cave 1,120,111,137,8.33,700.9,468.99,121.16,CeilingMove,R,Playing,0,9.01,13312,0,-1.0,1,2,Idle,4,PlayerCursorMidpoint,-1,27,3545
70.7,Mine Cave 1,120,109,129,8.33,714.0,478.97,116.64,Land,R,Playing,0,9.14,13436,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,7013
71.7,Mine Cave 1,120,114,125,8.33,728.1,481.92,114.19,Fall,R,Playing,0,8.78,14352,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,7036
72.7,Mine Cave 1,120,111,136,8.33,744.7,488.65,112.64,Land,R,Playing,0,9.01,17076,0,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,27,8648
73.8,Mine Cave 1,120,103,133,8.34,762.4,492.53,115.77,Rise,R,Playing,0,9.73,18064,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,8654
74.8,Mine Cave 1,120,75,353,8.33,678.3,501.28,114.17,Fall,R,Playing,0,13.38,-86052,1,-1.0,3,2,Idle,4,PlayerCursorMidpoint,-1,30,8435
75.8,Mine Cave 1,120,115,126,8.33,688.9,507.36,112.79,JumpUp,R,Playing,0,8.66,10856,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,27,6842
76.8,Mine Cave 1,120,114,130,8.33,701.6,514.72,111.64,Land,R,Playing,0,8.79,12924,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,24,9314
77.8,Mine Cave 1,120,112,133,8.33,714.8,514.72,111.64,Idle,R,Playing,0,8.96,13592,0,-1.0,2,2,Idle,4,PlayerCursorMidpoint,-1,24,9313
78.8,Mine Cave 1,120,114,127,8.34,728.1,517.48,109.31,JumpUp,R,Playing,0,8.79,13556,0,-1.0,4,2,Idle,4,PlayerCursorMidpoint,-1,25,9649
79.8,Mine Cave 1,120,111,130,8.33,744.0,514.48,112.76,Fall,R,Playing,0,9.03,16272,0,-1.0,6,3,Idle,4,PlayerCursorMidpoint,-1,27,9352
80.8,Mine Cave 1,120,114,126,8.33,761.4,515.59,111.64,Land,R,Playing,0,8.79,17808,0,-1.0,1,3,Idle,4,PlayerCursorMidpoint,-1,24,9348
