# Inkform performance log
# startedAt=2026-09-09T16:12:07
# branch=unknown
# commit=unknown
# unity=6000.4.10f1 platform=WindowsPlayer
# device=System Product Name (ASUS) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 5080 sysMemMB=63129 quality=Ultra
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=3840x2160 targetFps=0 vSync=0
0.9,MainMenu,1578,10,4163,0.63,4.9,0.00,0.00,Idle,R,MainMenu,1,98.87,0,0,-1.0,0,0,,0,,-1,-1,-1
1.9,MainMenu,1769,297,4097,0.57,4.9,0.00,0.00,Idle,R,MainMenu,0,3.37,0,0,-1.0,0,0,,0,,-1,-1,-1
2.9,MainMenu,1769,365,5497,0.57,4.9,0.00,0.00,Idle,R,MainMenu,0,2.74,4,0,-1.0,0,0,,0,,-1,-1,-1
3.9,MainMenu,1809,402,5152,0.55,4.9,0.00,0.00,Idle,R,MainMenu,0,2.49,0,0,-1.0,0,0,,0,,-1,-1,-1
4.7,MainMenu,1771,431,4268,0.56,4.9,0.00,0.00,Idle,R,MainMenu,0,2.32,4,0,-1.0,0,0,,0,,-1,-1,-1
5.2,MainMenu,1827,377,3959,0.55,4.9,0.00,0.00,Idle,R,MainMenu,0,2.65,12,0,-1.0,0,0,,0,,-1,-1,-1
7.3,MainMenu,1799,511,4188,0.56,4.9,0.00,0.00,Idle,R,MainMenu,0,1.96,0,0,-1.0,1,0,,0,,-1,-1,-1
7.4,MainMenu,1775,435,4292,0.56,4.9,0.00,0.00,Idle,R,MainMenu,0,2.30,0,0,-1.0,0,0,,0,,-1,-1,-1
7.5,MainMenu,1874,435,4049,0.53,4.9,0.00,0.00,Idle,R,MainMenu,0,2.30,4,0,-1.0,0,0,,0,,-1,-1,-1
