# Inkform performance log
# startedAt=2026-09-09T19:27:22
# branch=unknown
# commit=unknown
# unity=6000.4.10f1 platform=WindowsPlayer
# device=System Product Name (ASUS) os=Windows 11  (10.0.26200)
# gpu=NVIDIA GeForce RTX 4060 Ti sysMemMB=31909 quality=Ultra
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=120 vSync=0
0.7,MainMenu,6,6,6,163.84,4.2,0.00,0.00,Idle,R,MainMenu,1,163.84,2388,5,-1.0,0,0,,0,,-1,-1,-1
0.8,MainMenu,115,79,120,8.73,4.2,0.00,0.00,Idle,R,MainMenu,0,12.73,8,0,-1.0,0,0,,0,,-1,-1,-1
0.9,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,4,0,-1.0,0,0,,0,,-1,-1,-1
1.0,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
1.1,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
1.2,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
1.3,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
1.4,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,4,0,-1.0,0,0,,0,,-1,-1,-1
1.5,MainMenu,120,120,120,8.33,4.2,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
1.6,MainMenu,119,112,120,8.43,4.2,0.00,0.00,Idle,R,MainMenu,0,8.93,0,0,-1.0,0,0,,0,,-1,-1,-1
1.7,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.34,4,0,-1.0,0,0,,0,,-1,-1,-1
1.8,MainMenu,120,119,120,8.34,4.3,0.00,0.00,Idle,R,MainMenu,0,8.41,0,0,-1.0,0,0,,0,,-1,-1,-1
1.9,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.34,4,0,-1.0,0,0,,0,,-1,-1,-1
2.0,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
2.1,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
2.2,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.33,0,0,-1.0,0,0,,0,,-1,-1,-1
2.4,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.34,0,0,-1.0,0,0,,0,,-1,-1,-1
2.5,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.33,4,0,-1.0,0,0,,0,,-1,-1,-1
2.6,MainMenu,120,120,120,8.33,4.3,0.00,0.00,Idle,R,MainMenu,0,8.35,4,0,-1.0,0,0,,0,,-1,-1,-1
