# Inkform performance log
# startedAt=2026-09-09T22:25:10
# branch=unknown
# commit=unknown
# unity=6000.4.10f1 platform=WindowsPlayer
# device=ROG Strix G713PV_G713PV (ASUSTeK COMPUTER INC.) os=Windows 11  (10.0.26100)
# gpu=NVIDIA GeForce RTX 4060 Laptop GPU sysMemMB=31959 quality=Ultra
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face,game_state,hitches,max_frame_ms,gc_alloc_kb,gc_collects,scene_load_ms,voices,deaths,rope,mementos,cam_mode,draw_calls,set_pass,tris
# screen=2560x1440 targetFps=0 vSync=0
0.0,Mine Cave 1,14,1,1483,71.46,5.7,232.86,74.64,Idle,L,Paused,1,983.99,28,0,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
1.0,Mine Cave 1,1045,181,2099,0.96,5.7,232.86,74.64,Idle,L,Paused,0,5.52,-64,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
2.0,Mine Cave 1,1077,505,2064,0.93,5.7,232.86,74.64,Idle,L,Paused,0,1.98,40,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
3.0,Mine Cave 1,1061,537,2011,0.94,5.6,232.86,74.64,Idle,L,Paused,0,1.86,-92,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
4.0,Mine Cave 1,1097,551,2148,0.91,5.6,232.86,74.64,Idle,L,Paused,0,1.82,-16,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
5.0,Mine Cave 1,1061,504,2056,0.94,5.5,232.86,74.64,Idle,L,Paused,0,1.98,-88,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
6.1,Mine Cave 1,897,212,1838,1.11,5.9,232.86,74.64,Idle,L,Paused,0,4.71,400,2,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
7.1,Mine Cave 1,970,200,2050,1.03,5.6,232.86,74.64,Idle,L,Paused,0,5.01,-264,3,124.5,43,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
8.1,Mine Cave 1,1074,534,2164,0.93,5.6,232.86,74.64,Idle,L,Paused,0,1.87,-56,3,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
9.1,Mine Cave 1,1092,414,2312,0.92,5.6,232.86,74.64,Idle,L,Paused,0,2.42,-24,3,124.5,43,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
10.5,Mine Cave 1,1004,281,1978,1.00,5.5,232.86,74.64,Idle,L,Paused,0,3.56,-96,4,124.5,43,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
12.6,Mine Cave 1,1052,492,1908,0.95,6.1,232.86,74.64,Idle,L,Paused,0,2.03,600,5,124.5,43,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
13.4,Mine Cave 1,1010,404,2081,0.99,5.5,232.86,74.64,Idle,L,Paused,0,2.47,-552,3,124.5,43,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
13.5,Mine Cave 1,1117,635,1746,0.89,5.7,232.86,74.64,Idle,L,Paused,0,1.58,220,0,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
13.6,Mine Cave 1,900,356,1644,1.11,5.9,232.86,74.64,Idle,L,Paused,0,2.81,180,0,124.5,42,0,Idle,1,PlayerCursorMidpoint,-1,-1,-1
